Feature,Importance,Importance_se
sdh_pos,4.067902871273301,0.2139245738522992
history_sdh,1.9664417351543857,0.2956141659965847
neurosurgeri_pos,1.2787823850474835,0.041719439819647014
midlin shift_neg,0.8265557655919235,0.09938111313474433
subdur_pos,0.7350747594100754,0.0435172455281067
tbi_pos,0.7319641488118637,0.0672155950271066
head ct_pos,0.7035907824724943,0.03826258700459527
trauma_pos,0.6581343921953446,0.033500521915217726
ct head_pos,0.557002140083773,0.031585973320240886
tentorium_pos,0.5149185882876655,0.15245161664434873
midlin shift_pos,0.4149583388817283,0.028283309356830325
mvc_pos,0.35491565915376977,0.12595495180584587
acut sdh_pos,0.3520068384469138,0.08688225189648512
recent sdh_neg,0.2719060323447218,0.10200771693015614
neurosurg intervent_pos,0.25225402625452276,0.08523494155413482
intraparenchym hemorrhag_pos,0.2485410882161346,0.06826412479055687
herniat_pos,0.23224643715280732,0.07595833335578317
craniotomi_pos,0.23169524458417307,0.05776106674039149
hematoma_neg,0.1916587138178533,0.07228941028574856
hematoma_pos,0.16794255790685325,0.03403695846990226
intraparenchym hemorrhag_neg,0.15065981853857427,0.07080559393266811
drainag_neg,0.1443077676310764,0.047726071643626126
scan_pos,0.13222286129621713,0.03029247911870882
thick_neg,0.12341841214472553,0.04884949384426272
craniectomi_pos,0.11267545393460074,0.041700123040640816
mva_neg,0.11152777988709024,0.0501670604149374
tbi_neg,0.10854171788027533,0.048144422018735235
intracrani hemorrhag_pos,0.10682681987649092,0.03346643395890044
scan_neg,0.09881737048189403,0.037453680379880984
thick_pos,0.09746738785063629,0.03499361742721576
stabl sdh_pos,0.09376071115508897,0.02796180897487532
subdur_neg,0.07470418208958578,0.02871764026720219
burr hole_pos,0.07257543732413682,0.02763382752804051
brain mri_neg,0.05721764240026968,0.02160338252687621
evacu_neg,0.052900497062222905,0.021300476346132396
known sdh_neg,0.02275591216133675,0.012109338913888056
resolv sdh_pos,0.018078968340008664,0.020371984523348617
tentorium_neg,0.0,0.0
prior sdh_neg,0.0,0.0
resolv sdh_neg,0.0,0.0
acut sdh_neg,0.0,0.0
brain injuri_neg,0.0,0.0
stabl sdh_neg,0.0,0.0
craniectomi_neg,0.0,0.0
burr hole_neg,0.0,0.0
mvc_neg,-0.003257314103339996,0.0021647435230632145
craniotomi_neg,-0.013357380362626011,0.006674430064715189
trauma_neg,-0.018427148308302565,0.02049364809998814
neurosurgeri_neg,-0.030107620472134815,0.027344696987390577
evacu_pos,-0.04302112231892966,0.05604132765496954
recent sdh_pos,-0.047267333047954926,0.029308328935354636
chronic sdh_pos,-0.12659038207448042,0.0538396314986611
ct head_neg,-0.13833094117982833,0.05197392894003077
drainag_pos,-0.14230960245453597,0.046845364894940004
neurosurg intervent_neg,-0.14906492113003972,0.06924778398123176
known sdh_pos,-0.15869541671630913,0.06330883867107095
sdh_neg,-0.19002582838155332,0.0705990271053672
brain injuri_pos,-0.19691569588764307,0.07029891106353803
herniat_neg,-0.21602251096051975,0.08649078870290064
head ct_neg,-0.2710670580905323,0.10040839371494892
chronic sdh_neg,-0.2896151608421792,0.10478047256447158
brain mri_pos,-0.3079662398413376,0.10455430887110069
mva_pos,-0.4019407160910098,0.12734566003257566
intracrani hemorrhag_neg,-0.43204727980915714,0.10844099495693071
prior sdh_pos,-0.726062330991437,0.1252568724644913
